iteration, itertime, mapcons, ai
1, 3.11188, 1188, 0.858019
2, 3.09292, 1639, 0.863402
3, 3.01957, 1829, 0.863002
4, 3.10367, 1829, 0.863002
5, 2.71462, 1972, 0.860638
6, 2.6292, 1972, 0.860638
7, 2.66212, 1972, 0.860638
8, 2.63466, 1972, 0.860638
9, 2.59091, 1972, 0.860638
10, 2.62319, 3217, 0.867989
11, 2.64846, 3217, 0.867989
12, 2.68805, 3217, 0.867989
13, 2.82098, 3217, 0.867989
14, 2.82432, 3217, 0.867989
15, 2.66415, 3217, 0.867989
16, 2.85684, 3217, 0.867989
17, 2.62978, 3217, 0.867989
18, 2.64551, 3217, 0.867989
19, 2.74827, 3217, 0.867989
20, 2.50283, 3217, 0.867989
21, 2.53027, 3217, 0.867989
22, 2.50765, 3217, 0.867989
23, 2.50944, 3217, 0.867989
24, 2.49424, 3217, 0.867989
25, 2.48775, 3217, 0.867989
26, 2.58855, 3828, 0.863443
27, 2.50485, 3828, 0.863443
28, 2.52826, 3828, 0.863443
29, 2.55097, 3828, 0.863443
30, 2.54708, 3828, 0.863443
31, 2.69274, 3828, 0.863443
32, 2.83843, 3828, 0.863443
33, 2.66036, 3828, 0.863443
34, 2.90493, 3828, 0.863443
35, 2.87365, 3828, 0.863443
36, 2.59075, 3828, 0.863443
37, 2.75951, 3828, 0.863443
38, 2.89614, 3828, 0.863443
39, 2.61465, 3828, 0.863443
40, 2.77605, 3828, 0.863443
41, 2.86309, 3828, 0.863443
42, 2.57893, 3828, 0.863443
43, 2.72688, 3828, 0.863443
44, 2.85783, 3828, 0.863443
45, 2.626, 3828, 0.863443
46, 2.78428, 3828, 0.863443
47, 2.82266, 3828, 0.863443
48, 2.64794, 3828, 0.863443
49, 3.11156, 3828, 0.863443
50, 2.92235, 3828, 0.863443
51, 2.90705, 3828, 0.863443
52, 2.88723, 3828, 0.863443
53, 2.62063, 3828, 0.863443
54, 2.71887, 3828, 0.863443
55, 2.92814, 3828, 0.863443
56, 2.62794, 3828, 0.863443
57, 2.75149, 3828, 0.863443
58, 3.05709, 3828, 0.863443
59, 2.64383, 3828, 0.863443
60, 2.75264, 3828, 0.863443
