iteration, itertime, mapcons, ai
1, 1.27016, 359, 0.892516
2, 1.29271, 359, 0.892518
3, 1.22815, 359, 0.892518
4, 1.2063, 359, 0.892516
5, 1.21743, 381, 0.90879
6, 1.21216, 461, 0.913506
7, 1.21264, 480, 0.9182
8, 1.25341, 517, 0.88813
9, 1.21295, 517, 0.888148
10, 1.21611, 517, 0.88813
11, 1.18426, 517, 0.88813
12, 1.18149, 517, 0.888148
13, 1.25452, 582, 0.898667
14, 1.18875, 582, 0.898667
15, 1.20537, 582, 0.898667
16, 1.18305, 582, 0.898667
17, 1.18034, 582, 0.898667
18, 1.17924, 582, 0.898667
19, 1.18584, 582, 0.898667
20, 1.24898, 582, 0.898667
21, 1.17977, 582, 0.898667
22, 1.16775, 582, 0.898667
23, 1.18692, 582, 0.898667
24, 1.18982, 584, 0.893694
25, 1.18672, 584, 0.893667
26, 1.16729, 584, 0.893667
27, 1.23374, 584, 0.893694
28, 1.1962, 584, 0.893694
29, 1.17646, 584, 0.893667
30, 1.21283, 584, 0.893694
31, 1.18615, 584, 0.893694
32, 1.20582, 584, 0.893667
33, 1.15905, 584, 0.893667
34, 1.19415, 584, 0.893694
35, 1.16545, 584, 0.893667
36, 1.17362, 584, 0.893667
37, 1.21338, 584, 0.893694
38, 1.19532, 584, 0.893694
39, 1.18999, 614, 0.893416
40, 1.15351, 614, 0.893407
41, 1.2199, 614, 0.893407
42, 1.19595, 614, 0.893416
43, 1.20021, 614, 0.893407
44, 1.24437, 614, 0.893407
45, 1.20327, 614, 0.893416
46, 1.19232, 614, 0.893416
47, 1.18273, 614, 0.893407
48, 1.22306, 614, 0.893407
49, 1.19589, 614, 0.893416
50, 1.19196, 614, 0.893407
51, 1.20076, 614, 0.893407
52, 1.18854, 614, 0.893416
53, 1.1764, 614, 0.893407
54, 1.18954, 614, 0.893407
55, 1.17486, 614, 0.893416
56, 1.16873, 614, 0.893416
57, 1.15742, 614, 0.893407
58, 1.21459, 614, 0.893416
59, 1.20324, 614, 0.893416
60, 1.18308, 614, 0.893407
