iteration, itertime, mapcons, ai
1, 1.0871, 250, 0.890146
2, 1.02916, 290, 0.888143
3, 1.00322, 306, 0.885054
4, 1.0173, 343, 0.867279
5, 0.965078, 343, 0.867425
6, 0.946201, 343, 0.867279
7, 0.927976, 479, 0.898544
8, 0.921913, 479, 0.898576
9, 0.923392, 518, 0.895563
10, 0.961676, 518, 0.895488
11, 0.927979, 518, 0.895563
12, 0.924588, 518, 0.895563
13, 0.981028, 518, 0.895488
14, 0.929213, 518, 0.895488
15, 0.924871, 518, 0.895563
16, 0.928331, 518, 0.895488
17, 0.92442, 518, 0.895488
18, 0.914949, 518, 0.895563
19, 0.992545, 518, 0.895488
20, 0.94692, 518, 0.895488
21, 0.915683, 518, 0.895563
22, 0.918809, 518, 0.895563
23, 0.925105, 518, 0.895488
24, 0.908213, 518, 0.895563
25, 0.901755, 518, 0.895563
26, 0.903885, 518, 0.895488
27, 1.0044, 518, 0.895488
28, 0.926386, 518, 0.895563
29, 0.918213, 518, 0.895488
30, 0.915904, 518, 0.895488
31, 0.924638, 518, 0.895563
32, 0.954787, 518, 0.895563
33, 0.890463, 518, 0.895488
34, 0.906929, 518, 0.895563
35, 0.906867, 518, 0.895563
36, 0.909824, 518, 0.895488
37, 0.927154, 518, 0.895488
38, 0.925471, 518, 0.895563
39, 0.956303, 518, 0.895488
40, 0.930211, 518, 0.895488
41, 0.906658, 518, 0.895563
42, 0.948211, 518, 0.895563
43, 0.912165, 518, 0.895488
44, 0.906814, 518, 0.895563
45, 0.908325, 518, 0.895563
46, 0.938822, 518, 0.895488
47, 0.902692, 518, 0.895563
48, 0.914054, 518, 0.895563
49, 0.917852, 518, 0.895488
50, 0.905297, 518, 0.895488
51, 0.904205, 518, 0.895563
52, 0.944136, 518, 0.895488
53, 0.905804, 518, 0.895488
54, 0.935049, 536, 0.896859
55, 0.914198, 536, 0.896859
56, 0.908908, 536, 0.896829
57, 0.946378, 536, 0.896859
58, 0.970437, 536, 0.896859
59, 0.994633, 536, 0.896829
60, 1.11323, 536, 0.896829
